#Id|nom|age|taille|pied|nationalite|position|club|ligue|fin_contrat|valeur_actuelle|valeur_max|montant_transfert|CDM|LDC|nb_selections|nb_buts
191.html|nico-schlotterbeck|23|1.91|gauche|Allemagne|Défenseur central|Borussia Dortmund|bundesliga| 2027|33|33|20.09 |0|0|8|0
484.html|max-aarons|23|1.71|droit|Angleterre|Arrière droit|Norwich City|championship| 2024|18|22|0.00|0|0|18|0
26.html|gabriel-jesus|25|1.75|droit|Brésil|Avant-centre|FC Arsenal|premier-league| 2027|75|80|84.20 |0|0|59|19
241.html|seko-fofana|27|1.85|droit|Côte d'Ivoire|Milieu central|RC Lens|ligue-1| 2025|30|30|12.00 |0|0|8|3
304.html|pablo-fornals|27|1.78|droit|Espagne|Milieu offensif|West Ham United|premier-league| 2024|25|30|40.00 |0|0|6|1
187.html|paul-pogba|29|1.91|ambidextre|France|Milieu central|Juventus Turin|serie-a| 2026|35|100|105.00 |1|0|91|11
30.html|neymar|31|1.75|droit|Brésil|Ailier gauche|Paris Saint-Germain|ligue-1| 2025|75|180|310.00 |0|1|124|77
492.html|sasa-kalajdzic|25|2.00|droit|Autriche|Avant-centre|Wolverhampton Wanderers|premier-league| 2027|18|25|24.00 |0|0|15|4
168.html|edson-alvarez|25|1.87|droit|Mexique|Milieu défensif|Ajax Amsterdam|eredivisie| 2025|35|35|15.00 |0|0|61|3
216.html|charles-de-ketelaere|21|1.92|gauche|Belgique|Milieu offensif|AC Milan|serie-a| 2027|30|30|32.00 |0|0|11|1
353.html|david-neres|25|1.76|gauche|Brésil|Ailier droit|SL Benfica|liga-portugal| 2027|22|45|44.70 |0|0|7|1
88.html|dejan-kulusevski|22|1.86|gauche|Suède|Ailier droit|Tottenham Hotspur|premier-league| 2023|50|50|49.50 |0|0|27|2
67.html|kingsley-coman|26|1.81|droit|France|Ailier droit|FC Bayern München|bundesliga| 2027|60|65|28.00 |0|1|46|5
282.html|youssouf-fofana|24|1.85|droit|France|Milieu central|AS Monaco|ligue-1| 2024|25|25|15.00 |0|0|8|0
328.html|federico-dimarco|25|1.75|gauche|Italie|Arrière gauche|Inter Milan|serie-a| 2026|25|25|8.91 |0|0|8|1
144.html|antonio-rudiger|29|1.90|droit|Allemagne|Défenseur central|Real Madrid|laliga| 2026|40|50|48.00 |0|1|57|2
451.html|bryan-cristante|27|1.86|droit|Italie|Milieu défensif|AS Roma|serie-a| 2024|20|25|41.70 |0|0|29|2
